,entity,summary,headline
1779,TTWO,"Take-Two Interactive CEO Strauss Zelnick discusses what drove his company's first-quarter earnings beat and future outlook for the business.,,,,,,",TakeTwo CEO on earnings beat driven by Grand Theft Auto success
1780,EIX,"Edison International (EIX) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,,,,,,",Edison International (EIX) Q3 Earnings Preview: What to Know Ahead of the Release
1781,JWN,"Alan Valdes, director of floor operations at Silverbear Capital, joins Yahoo Finance's Seana Smith from the New York Stock Exchange to discuss the latest market moves.Here's the Q2 performance of top S&P 500 stocks as of 1:30 pm ET:TWTR,Twitte...,,,,,",NYSE trader: I like big tech stocks and Home Depot heading into Q3
1782,HON,"Airplane parts maker Honeywell International Inc raised its full-year profit forecast for the fourth time this year on Thursday and said it would receive $3 billion in one-time dividends from units it plans to spin off as part of a company reorgan...,,,,,,","Honeywell raises 2018 profit forecast, to get spinoff dividends"
1783,MRK,nan,"3 Things In Biotech, May 4: Merck's New Combo, Alnylam Jump Starts, Ocata Gone Forever?"
1784,SCG,"South Carolina utility Santee Cooper says it wants a voice in whether Scana Corp. ([[SCG]] +0.5%), its partner in building two failed nuclear plants in the,,,,,,",South Carolina state utility wants say on ScanaDominion deal
1785,NWL,"NA,,,,,,",Newell Brands (NWL) Presents At Consumer Analyst Group Of New York Investor Conference 2018  Slideshow
1786,RMD,"New Zealand medical device firm Fisher & Paykel Healthcare Corp cut its fiscal 2019 net profit outlook on Monday on the back of expected legal costs to contest patent allegations made by ResMed Inc.,,,,,,",NZ's Fisher & Paykel Healthcare cuts FY guidance on higher expected...
1787,TGT,nan,Target: Bullseye In The Age Of Amazon
1788,AMGN,"Amgen's shares are rallying, but there are some risks that every investor ought to consider.,,,,,,",Is Now a Good Time to Buy Amgen?
1789,PNC,nan,PNC Treasury Management joins Ripple's blockchain payment network
1790,RHI,"quarter 2018, the reverse is likely to occur for Robert Half, Interpublic and Waste Connections.,,,,,,","Business Services Q2 Earnings on Jul 24: IQV, TSS & MoreWhile we expect IQVIA Holdings and Total System Services to post earnings beat in second"
1791,PFG,"share basis, the Des Moines, Iowa-based company said it had profit of $1.58. Earnings, adjusted for investment gains, came to $1.35 per share. The results missed Wall Street expectations. The ...,,,,,,",Principal Financial: 2Q Earnings SnapshotOn a per
1792,UNH,"day lines Wednesday while Nike is near a buy.,,,,,,","Techs Lead Futures Higher; This Dow Jones Stock Nears Buy PointDow Jones, S&P 500 and especially Nasdaq futures rallied. Blue chips Apple, Microsoft and UnitedHealth reclaimed their 50"
1793,BDX,"BDX earnings call for the period ending December 31, 2017.,,,,,,",Becton Dickinson (BDX) Q1 2018 Earnings Conference Call Transcript
1794,RSG,"- MarketNewsUpdates.com News Commentary  The global food waste management market is forecast to experience considerable growth over in the coming yea...,,,,,,","Global Food Waste Management Infused with Smart Waste Technologies Projected to Near $75 Billion by 2025PR Newswire PALM BEACH, Florida, April 24, 2018 PALM BEACH, Florida, April 24, 2018 /PRNewswire/ "
1795,KSS,nan,Market Caution Amid Political Worries (Wall Street Breakfast Podcast)
1796,ARNC,nan,Arconic seeks to sell unit that made panels in London's Grenfell fire
1797,JNJ,nan,Celgene Earnings Preview
1798,BMY,"Opdivo combo meets main goal of late-stage cancer study; Bristol-Myers' shares up in premarket trade, rivals down; Fourth-quarter profit tops.,,,,,,",BristolMyers' lung cancer drug succeeds key trial; shares rise
1799,MAS,nan,Masco declares $0.12 dividend
1800,IBM,"International Business Machines Corp. shares fell more than 5% in the extended session Tuesday after the company missed earnings expectations. IBM shares closed up 1.9% to $160.93 during the regular session. ...,,,,,,",IBM stock falls after earnings beat
1801,GE,"CNBC's Jim Cramer says new GE chief Lawrence Culp is telling everyone that ""everything is on the table"" to try to revive the fallen industrial giant.,,,,,,",Jim Cramer: 'Everything is on the table' under new GE CEO to revive the fallen giant
1802,BBY,"It’s tough to find an overarching pattern in the sector because a rising tide doesn't quite lift all boats.,,,,,,",What Best Buy's and Kohl's Good Numbers Tell Us About Retail
1803,FE,"FirstEnergy (FE) +8.9% premarket after announcing a ""transformational"" $2.5B investment in the company from affiliates of Elliott Management, Bluescape, GI,,,,,,",FirstEnergy +9% after 'transformational' $2.5B equity investment
1804,TGT,nan,"How Worried Would You Be If GM Had 25 Million Cars In Inventory? In A Way, They Do"
1805,ILMN,nan,Meridian's FQ1 beat buoys diagnostics firms
1806,SWKS,"Skyworks Solutions (SWKS) drops 0.3% on Q2 beats with a 7% Y/Y revenue growth. Downside Q3 guidance has revenue from $875M to $900M (consensus: $931.61) an,,,,,,","Skyworks Solutions reports Q2 beats, downside guidance"
1807,QCOM,"NA,,,,,,","13 Dividend Increases: May 2125, 2018"
1808,FDX," Morguard Corporation (""Morguard"" or the ""Company"") (TSX:MRC) today announced its financial results for the three months ended March 31, 2018. Reporting Highlights Op...,,,,,,","Morguard Corporation Announces 2018 First Quarter Results and Regular Eligible DividendCanada NewsWire MISSISSAUGA, ON, May 8, 2018 MISSISSAUGA, ON, May 8, 2018 /CNW/ "
1809,AES,"10.71% and -25.52%, respectively, for the quarter ended June 2018. Do the numbers hold clues to what lies ahead for the stock?,,,,,,",AES (AES) Misses Q2 Earnings and Revenue EstimatesAES (AES) delivered earnings and revenue surprises of 
1810,CPB,"Moody’s Investors Service said it may cut Campbell Soup Co.’s credit rating after the company posted a steep drop in profitability and its chief executive officer suddenly stepped down.,,,,,,",Campbell Soup May Be Downgraded by Moody's Amid CEO Departure
1811,AMP,nan,Ameriprise Financial declares $0.90 dividend
1812,NLSN,"Nielsen Holdings Plc will expand a review of strategic alternatives to include a sale of the entire TV ratings company, the firm told Reuters on Tuesday, after coming under pressure to do so from hedge fund Elliott Management Corp.,,,,,,",Exclusive: TV ratings provider Nielsen expands review to include company sale
1813,PNC,"NA,,,,,,","Regional Banks BB&T, M&T, PNC, SunTrust, U.S. Bancorp Holding Key Levels PreEarnings"
1814,CPB,"CNBC's Sara Eisen has the latest details on the immediate retirement of Campbell Soup CEO Denise Morrison as the company announces a review of its strategic plans and portfolio composition.,,,,,,",Campbell Soup cuts earnings forecast
1815,LB,"year earnings outlook.,,,,,,","Victoria's Secret might be 'broken' as L Brands slashes its outlook, shares tumbleThe company, which also owns Bath & Body Works, slashed its full"
1816,GIS,nan,General Mills declares $0.49 dividend
1817,PGR,"called plan to desegregate public schools. The proposal is so foul that it doesn’t even get credit for good intentions. It is the fruit of poisoned...,,,,,,","De Blasio’s school ‘diversity’ plan will be a progressive failureIn Bill de Blasio’s New York, there is no shortage of bad ideas. But among the very worst is the so"
1818,PYPL,"The “Fast Money” traders share their final trades for the day including PayPal, Home Depot, Tesla and HCA Healthcare.,,,,,,","""Fast Money"" final trades: PYPL, HD and more"
1819,NFLX,"Netflix reaches for Emmys milestone, but can it outpace HBO?,,,,,,","Netflix reaches for Emmys milestone, but can it outpace HBO?"
1820,ARE,"Joel Marcus, Alexandria Real Estate Equities CEO, discusses key locations that are driving the success of his business in real estate for biotech companies.,,,,,,",Location to top academic institutions is key to being a landlord for biotech
1821,GM,"Morgan Stanley lowers its price target for General Motor shares, citing a car sales slowdown in China.,,,,,,",Morgan Stanley cuts its profits estimates for General Motors because of its exposure to China
1822,CAG,"$1.89-This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Conagra raises 2018 adj. EPS outlook to $2.03$2.05 from 'near high end of the range' of $1.84
1823,PCAR,"Paccar (PCAR) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,,,,,,",Paccar (PCAR) Q3 Earnings Preview: Here's What to Look Out For
1824,C,"NA,,,,,,",Hydro One Ltd (HRNNF) CEO Paul Dobson on Q2 2018 Results  Earnings Call Transcript
1825,DHI,nan,D. R. Horton declares $0.125 dividend
1826,WM,nan,"Waste Management, Expertly Positioned For Tax Reform"
1827,UTX,"Names on the move ahead of the open.,,,,,,","Stocks making the biggest move premarket: UTX, HOG, VZ, MMM, CAT & more"
1828,CXO,nan,Hartstreet: STACK/SCOOP Production Doubles
1829,GD,nan,Best Navy Shipbuilding In 30 Years
1830,EMR,"Rand, and Emerson Electric.,,,,,,","These 3 Highly Rated Industrial Stocks Are Buys NowInvestors should take a close look at Honeywell International, Ingersoll"
1831,CF,"- EyePoint Pharmaceuticals, Inc. (NASDAQ: EYPT ), a specialty biopharmaceutical company committed to developing and commercializing innovative ophthalmic products, today announced that David Price,...,,,,,,","EyePoint Pharmaceuticals to Present at the 38th Annual Canaccord Genuity Growth ConferenceWATERTOWN, Mass., Aug. 02, 2018 (GLOBE NEWSWIRE) "
1832,DWDP,"DowDuPont (DWDP) topped expectations in Q2 on strong results across its business segments.,,,,,,","DowDuPont (DWDP) Earnings, Revenues Trounce Estimates in Q2"
1833,CA,"Retailers Casino, Carrefour support European shares,,,,,,","Retailers Casino, Carrefour support European shares"
1834,LUV,"Southwest CEO the airline's plans to fly to Hawaii are on track but that it's unclear whether the flights will begin at the end of 2018 or in early 2019.,,,,,,",Southwest Airlines: Hawaii flights could begin this year
1835,SRE,"Woodside Petroleum Ltd, Australia's biggest independent oil and natural gas company, has decided to pull out of Sempra Energy's Port Arthur liquefied natural gas (LNG) export project in Texas, Sempra said on Friday.,,,,,,",Woodside exits Sempra Port Arthur LNG export project in Texas
1836,REGN,"Top Upgrades Analysts at Buckingham upgraded Finish Line Inc (NASDAQ: FINL) from Underperform to Neutral. Finish Line shares gained 3.14 percent to $9.84 in ...,,,,,,","Benzinga's Top Upgrades, Downgrades For February 21, 2018"
1837,BLL,"106 loss to the defending champions Wednesday night, which Brook Lopez ...,,,,,,","Lakers love Isaiah Thomas and Julius Randle fighting each otherInstead of fighting the Warriors, Julius Randle and Isaiah Thomas were feuding with each other. The Lakers pair got in a heated argument on the sideline during the Lakers’ 117"
1838,DXC,nan,Endava Proposes Terms For $101 Million U.S. IPO
1839,DAL,nan,U.S. airlines further amend Taiwan references
1840,UPS,"UPS and FedEx face new challenger,,,,,,",UPS and FedEx face new challenger
1841,O,nan,The (Chinese) Empire Strikes Back: This Dividend Stock Soars
1842,BHGE,"NA,,,,,,",Baker Hughes' (BHGE) CEO Lorenzo Simonelli on Q4 2017 Results  Earnings Call Transcript
1843,GWW,"Don't be caught off-guard: W W Grainger (NYSE: GWW) releases its next round of earnings this Tuesday. Want to skip the homework and get all the facts in ...,,,,,,","W.W. Grainger, Inc. (NYSE:GWW)  Q3 Earnings Preview: W W Grainger"
1844,BKNG,"hailing app Didi Chuxing has received a $500 million investment from U.S. travel firm Booking Holdings Inc , in a boost for its aggressive plan to enter new markets outside of China.,,,,,,",China's Didi gets $500 million funding from Booking.com parentChinese ride
1845,CFG,"The DividendRank formula at Dividend Channel ranks a coverage universe of thousands of dividend stocks according to a proprietary formula designed to identify those stocks that combine two important characteristics strong fundamentals and a valuat...,,,,,,",Citizens Financial Group Enters Oversold Territory
1846,RJF,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Bank of N.T. Butterfield Ltd. price target raised to $49 from $42 at Raymond JamesThis is a Real
1847,EXC,"The Zacks Analyst Blog Highlights: NextEra, Southern, Dominion and Exelon,,,,,,","The Zacks Analyst Blog Highlights: NextEra, Southern, Dominion and Exelon"
1848,HRL,"Hormel Foods (HRL) poised to grow on higher sales of major brands, lower corporate taxes and latest acquisitions amid turkey market challenges.,,,,,,","Hormel Foods' (HRL) Portfolio Solid, Turkey Trade a Woe"
1849,SJM,nan,SJM reports all casinos are open again
1850,BHGE,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,","Baker Hughes, a GE Co. upgraded to buy from neutral at UBSThis is a Real"
1851,WFC,"Tired of being cast as the poster child for big banks behaving badly, Wells Fargo & Co has been expanding its presence in the nation's capital to convince lawmakers it has changed and talking up its charitable work in their districts.,,,,,,",Wells Fargo touts good deeds to get back in lawmakers' good graces
1852,NFX,"Yahoo Finance's Alexis Christoforous and Jared Blikre break down the latest market action after Chesapeake Energy reported quarterly earnings that beat on adjusted net income and revenue, but delivered production numbers and a capital budget that ...,,,,,,",EARNINGS: Chesapeake Energy drops after production disappointment
